| Current Cycle | Remaining Time to Recover URL       | Recovered backQueue URL to go to prioritizer       | Next backQueueID to deque when ready     | URLs written to frontQueues/ fromFile +(fromRecover)    | URLs read from file and analized  | Queue Selector Status  | Queue Selector and Router status    |Recovered backQueue at this cycle   | 
| 28            | 1                                   | twitter.com                                        | 9                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 29            | 0                                   | No available recovered URL yet .                   | 9                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |ebay.com                            | 
| 30            | 4                                   | ebay.com                                           | 10                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 31            | 3                                   | No available recovered URL yet .                   | 10                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 32            | 2                                   | No available recovered URL yet .                   | 10                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 33            | 1                                   | No available recovered URL yet .                   | 10                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 34            | 0                                   | No available recovered URL yet .                   | 10                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |yelp.com                            | 
| 35            | 3                                   | yelp.com                                           | 11                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 36            | 2                                   | No available recovered URL yet .                   | 11                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 37            | 1                                   | No available recovered URL yet .                   | 11                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 38            | 0                                   | No available recovered URL yet .                   | 11                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues were refilled           |live.com                            | 
| 39            | 1                                   | live.com                                           | 12                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 40            | 0                                   | No available recovered URL yet .                   | 12                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |microsoft.com                       | 
| 41            | 2                                   | microsoft.com                                      | 13                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 42            | 1                                   | No available recovered URL yet .                   | 13                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 43            | 0                                   | No available recovered URL yet .                   | 13                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |buzzfeed.com                        | 
| 44            | 2                                   | buzzfeed.com                                       | 14                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 45            | 1                                   | No available recovered URL yet .                   | 14                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 46            | 0                                   | No available recovered URL yet .                   | 14                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |netflix.com                         | 
| 47            | 4                                   | netflix.com                                        | 15                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 48            | 3                                   | No available recovered URL yet .                   | 15                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 49            | 2                                   | No available recovered URL yet .                   | 15                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 50            | 1                                   | No available recovered URL yet .                   | 15                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 51            | 0                                   | No available recovered URL yet .                   | 15                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |pinterest.com                       | 
| 52            | 3                                   | pinterest.com                                      | 16                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 53            | 2                                   | No available recovered URL yet .                   | 16                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 54            | 1                                   | No available recovered URL yet .                   | 16                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 55            | 0                                   | No available recovered URL yet .                   | 16                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |wikia.com                           | 
| 56            | 1                                   | wikia.com                                          | 17                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 57            | 0                                   | No available recovered URL yet .                   | 17                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |wikipedia.org                       | 
| 58            | 2                                   | wikipedia.org                                      | 18                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 59            | 1                                   | No available recovered URL yet .                   | 18                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 60            | 0                                   | No available recovered URL yet .                   | 18                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |paypal.com                          | 
| 61            | 2                                   | paypal.com                                         | 19                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 62            | 1                                   | No available recovered URL yet .                   | 19                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 63            | 0                                   | No available recovered URL yet .                   | 19                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |godaddy.com                         | 
| 64            | 2                                   | godaddy.com                                        | 20                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 65            | 1                                   | No available recovered URL yet .                   | 20                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 66            | 0                                   | No available recovered URL yet .                   | 20                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |linkedin.com                        | 
| 67            | 2                                   | linkedin.com                                       | 21                                       |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 68            | 1                                   | No available recovered URL yet .                   | 21                                       |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 69            | 0                                   | No available recovered URL yet .                   | 21                                       |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |stackexchange.com/en/index.html     | 
| 70            | 1                                   | stackexchange.com/en/index.html                    | 1                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 71            | 0                                   | No available recovered URL yet .                   | 1                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues were refilled           |google.com                          | 
| 72            | 3                                   | google.com                                         | 2                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 73            | 2                                   | No available recovered URL yet .                   | 2                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 74            | 1                                   | No available recovered URL yet .                   | 2                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 75            | 0                                   | No available recovered URL yet .                   | 2                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |youtube.com/info.html               | 
| 76            | 1                                   | youtube.com/info.html                              | 3                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 77            | 0                                   | No available recovered URL yet .                   | 3                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |facebook.com/index.html             | 
| 78            | 4                                   | facebook.com/index.html                            | 4                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 79            | 3                                   | No available recovered URL yet .                   | 4                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 80            | 2                                   | No available recovered URL yet .                   | 4                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 81            | 1                                   | No available recovered URL yet .                   | 4                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 82            | 0                                   | No available recovered URL yet .                   | 4                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |msn.com/index.html                  | 
| 83            | 2                                   | msn.com/index.html                                 | 5                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 84            | 1                                   | No available recovered URL yet .                   | 5                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 85            | 0                                   | No available recovered URL yet .                   | 5                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues were refilled           |bing.com                            | 
| 86            | 4                                   | bing.com                                           | 6                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 87            | 3                                   | No available recovered URL yet .                   | 6                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 88            | 2                                   | No available recovered URL yet .                   | 6                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 89            | 1                                   | No available recovered URL yet .                   | 6                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 90            | 0                                   | No available recovered URL yet .                   | 6                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |yahoo.com/index.html                | 
| 91            | 3                                   | yahoo.com/index.html                               | 7                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 92            | 2                                   | No available recovered URL yet .                   | 7                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 93            | 1                                   | No available recovered URL yet .                   | 7                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 94            | 0                                   | No available recovered URL yet .                   | 7                                        |                             5 + (0)                     | 5                                 |      was invoked       | Back Queues weren't refilled        |amazon.com                          | 
| 95            | 3                                   | amazon.com                                         | 8                                        |                             5 + (1)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 96            | 2                                   | No available recovered URL yet .                   | 8                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 97            | 1                                   | No available recovered URL yet .                   | 8                                        |                             5 + (0)                     | 5                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
| 98            | 0                                   | No available recovered URL yet .                   | 8                                        |                             5 + (0)                     | 2                                 |      was invoked       | Back Queues weren't refilled        |twitter.com/index.html              | 
| 99            | 1                                   | twitter.com/index.html                             | 9                                        |                             2 + (1)                     | 0                                 |      was not invoked   | Back Queues weren't refilled        |No recovered URL                    | 
